06-23 11:50:28: Training starting.......
06-23 11:50:32: New Best Reward -8.1 (-100.0%) at episode 0, saving model.....
06-23 11:50:32: New Best Reward -6.9 (-14.8%) at episode 2, saving model.....
06-23 11:50:33: New Best Reward -6.3 (-8.7%) at episode 4, saving model.....
06-23 11:50:35: New Best Reward -5.1 (-19.0%) at episode 14, saving model.....
06-23 11:50:35: New Best Reward -4.5 (-11.8%) at episode 17, saving model.....
06-23 11:50:38: New Best Reward -3.9 (-13.3%) at episode 40, saving model.....
06-23 11:50:48: New Best Reward -2.7 (-30.8%) at episode 110, saving model.....
06-23 11:51:43: New Best Reward -0.9 (-66.7%) at episode 496, saving model.....
06-23 11:53:37: New Best Reward 1.5 (-266.7%) at episode 1262, saving model.....
06-23 11:54:09: New Best Reward 2.8 (+86.7%) at episode 1485, saving model.....
06-23 11:57:46: New Best Reward 3.0 (+7.1%) at episode 2945, saving model.....
06-23 11:58:33: New Best Reward 3.1 (+3.3%) at episode 3255, saving model.....
06-23 11:58:51: New Best Reward 3.5 (+12.9%) at episode 3374, saving model.....
06-23 11:58:57: New Best Reward 6.2 (+77.1%) at episode 3410, saving model.....
06-23 12:06:22: New Best Reward 7.1 (+14.5%) at episode 6175, saving model.....
06-23 12:07:01: New Best Reward 8.3 (+16.9%) at episode 6403, saving model.....
06-23 12:08:04: New Best Reward 9.5 (+14.5%) at episode 6773, saving model.....
06-23 12:09:00: New Best Reward 9.8 (+3.2%) at episode 7095, saving model.....
06-23 12:10:44: New Best Reward 18.2 (+85.7%) at episode 7682, saving model.....
06-23 12:17:46: New Best Reward 22.9 (+25.8%) at episode 9961, saving model.....
06-23 12:20:05: New Best Reward 50.6 (+121.0%) at episode 10636, saving model.....
